Departure Date,Flight Number,Segment,Booked Load (Adult/Infant),Go Shows,No Recs,No Shows,Flown Load,Day,Adults,Infants,Total Booked
7/1/2025,RB381,DAM/JED,30 \ 0,0,0,2,28,7/1/2025,30,0,30
7/1/2025,RB341,DAM/KWI,113 \ 1,0,0,4,106,7/1/2025,113,1,114
7/1/2025,RB342,KWI/DAM,154 \ 2,0,0,0,156,7/1/2025,154,2,156
7/1/2025,RB382,JED/DAM,97 \ 2,0,0,3,95,7/1/2025,97,2,99
7/1/2025,RB516,DXB/DAM,157 \ 6,0,0,1,162,7/1/2025,157,6,163
7/1/2025,RB503,DAM/AUH,95 \ 5,0,0,3,97,7/1/2025,95,5,100
7/1/2025,RB501,DAM/SHJ,80 \ 5,0,0,5,80,7/1/2025,80,5,85
7/1/2025,RB443,DAM/IST,59 \ 1,0,0,4,56,7/1/2025,59,1,60
7/1/2025,RB504,AUH/DAM,157 \ 8,0,1,1,163,7/1/2025,157,8,165
7/1/2025,RB502,SHJ/DAM,160 \ 1,0,1,2,158,7/1/2025,160,1,161
7/1/2025,RB444,IST/DAM,153 \ 7,0,0,0,160,7/1/2025,153,7,160
7/2/2025,RB505,DAM/SHJ,11 \ 0,0,0,3,8,7/2/2025,11,0,11
7/2/2025,RB515,DAM/DXB,58 \ 1,0,0,3,56,7/2/2025,58,1,59
7/2/2025,RB389,DAM/RUH,71 \ 1,0,0,0,72,7/2/2025,71,1,72
7/2/2025,RB506,SHJ/DAM,156 \ 6,0,0,8,154,7/2/2025,156,6,162
7/2/2025,RB390,RUH/DAM,151 \ 3,0,0,4,150,7/2/2025,151,3,154
7/2/2025,RB516,DXB/DAM,156 \ 7,0,3,5,155,7/2/2025,156,7,163
7/2/2025,RB521,DAM/DOH,145 \ 8,0,2,0,151,7/2/2025,145,8,153
7/2/2025,RB501,DAM/SHJ,75 \ 3,0,1,1,76,7/2/2025,75,3,78
7/2/2025,RB443,DAM/IST,57 \ 1,0,0,0,58,7/2/2025,57,1,58
7/2/2025,RB522,DOH/DAM,160 \ 8,0,0,2,166,7/2/2025,160,8,168
7/2/2025,RB502,SHJ/DAM,158 \ 4,0,1,0,161,7/2/2025,158,4,162
7/2/2025,RB444,IST/DAM,154 \ 12,0,1,4,161,7/2/2025,154,12,166
7/3/2025,RB505,DAM/SHJ,3 \ 0,0,0,1,2,7/3/2025,3,0,3
